country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg,date,year,month,day,hour,day_name,pollutant_range,pollution_category
India,Chhattisgarh,Raipur,"Krishak Nagar, Raipur - CECB",,21.237755,81.705301,OZONE,23.0,33.0,28.0,,,,,,,10.0,Unknown
India,Chhattisgarh,Raipur,"Siltara Phase-II, Raipur - CECB",,21.371751,81.664929,PM2.5,23.0,74.0,54.0,,,,,,,51.0,Satisfactory
India,Chhattisgarh,Tumidih,"OP Jindal Industrial Park, Tumidih - CECB",,22.06631475,83.33820077,OZONE,10.0,111.0,86.0,,,,,,,101.0,Unknown
India,Delhi,Delhi,"Alipur, Delhi - DPCC",,28.815329,77.15301,PM2.5,27.0,325.0,117.0,,,,,,,298.0,Poor
India,Delhi,Delhi,"Alipur, Delhi - DPCC",,28.815329,77.15301,OZONE,10.0,40.0,35.0,,,,,,,30.0,Unknown
India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",,28.647622,77.315809,PM10,145.0,500.0,256.0,,,,,,,355.0,Poor
India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",,28.695381,77.181665,PM2.5,30.0,313.0,121.0,,,,,,,283.0,Very Poor
India,Chandigarh,Chandigarh,"Sector-53, Chandigarh - CPCC",,30.719859,76.738637,NH3,18.0,23.0,20.0,,,,,,,5.0,Unknown
India,Chhattisgarh,Bhilai,"32Bungalows, Bhilai - CECB",,21.194815,81.31477,PM10,27.0,51.0,35.0,,,,,,,24.0,Good
India,Chhattisgarh,Bhilai,"Civic Center, Bhilai - Bhilai Steel Plant",,21.185571,81.343175,PM10,32.0,59.0,44.0,,,,,,,27.0,Good
India,Chhattisgarh,Bhilai,"Civic Center, Bhilai - Bhilai Steel Plant",,21.185571,81.343175,NO2,13.0,14.0,13.0,,,,,,,1.0,Unknown
India,Chhattisgarh,Bhilai,"Civic Center, Bhilai - Bhilai Steel Plant",,21.185571,81.343175,OZONE,10.0,20.0,17.0,,,,,,,10.0,Unknown
India,Chhattisgarh,Bilaspur,"Mangala, Bilaspur - NTPC",,22.08815,82.13737,NO2,10.0,154.0,28.0,,,,,,,144.0,Unknown
India,Chhattisgarh,Bilaspur,"Mangala, Bilaspur - NTPC",,22.08815,82.13737,CO,1.0,66.0,27.0,,,,,,,65.0,Unknown
India,Delhi,Delhi,"JNU, Delhi - DPCC",,28.540721,77.168544,PM2.5,33.0,303.0,125.0,,,,,,,270.0,Very Poor
India,Delhi,Delhi,"JNU, Delhi - DPCC",,28.540721,77.168544,PM10,79.0,238.0,158.0,,,,,,,159.0,Moderate
India,Delhi,Delhi,"JNU, Delhi - DPCC",,28.540721,77.168544,NO2,2.0,82.0,31.0,,,,,,,80.0,Unknown
India,Delhi,Delhi,"JNU, Delhi - DPCC",,28.540721,77.168544,SO2,,,,,,,,,,,Unknown
