country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Delhi,Delhi,"IGI Airport (T3), Delhi - IMD",21-04-2026 17:00,28.5627763,77.1180053,CO,22,62,29
India,Delhi,Delhi,"IGI Airport (T3), Delhi - IMD",21-04-2026 17:00,28.5627763,77.1180053,OZONE,15,71,62
India,Delhi,Delhi,"Sirifort, Delhi - CPCB",21-04-2026 17:00,28.5504249,77.2159377,NH3,4,15,11
India,Delhi,Delhi,"Sirifort, Delhi - CPCB",21-04-2026 17:00,28.5504249,77.2159377,SO2,23,37,30
India,Delhi,Delhi,"Sirifort, Delhi - CPCB",21-04-2026 17:00,28.5504249,77.2159377,OZONE,12,28,23
India,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC",21-04-2026 17:00,28.531346,77.190156,PM2.5,NA,NA,NA
India,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC",21-04-2026 17:00,28.531346,77.190156,PM10,NA,NA,NA
India,Delhi,Delhi,"Talkatora Garden, Delhi - DPCC",21-04-2026 17:00,28.62181,77.1944633,PM10,88,252,139
India,Delhi,Delhi,"Talkatora Garden, Delhi - DPCC",21-04-2026 17:00,28.62181,77.1944633,NH3,3,9,5
India,Delhi,Delhi,"Talkatora Garden, Delhi - DPCC",21-04-2026 17:00,28.62181,77.1944633,OZONE,7,35,32
India,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC",21-04-2026 17:00,28.672342,77.31526,NO2,26,113,60
India,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC",21-04-2026 17:00,28.672342,77.31526,OZONE,17,73,65
India,Delhi,Delhi,"Wazirpur, Delhi - DPCC",21-04-2026 17:00,28.699793,77.165453,NH3,7,12,9
India,Gujarat,Gandhinagar,"IIPHG Lekawada, Gandhinagar - IITM",21-04-2026 17:00,23.243639,72.68994,OZONE,2,25,19
India,Gujarat,Mehsana,"Sadanand Nagar, Mehsana - Nexteng Enviro",21-04-2026 17:00,23.59315,72.372792,PM2.5,14,124,54
India,Gujarat,Nandesari,"GIDC, Nandesari - Nandesari Ind. Association",21-04-2026 17:00,22.410802,73.097923,NO2,18,312,87
India,Gujarat,Rajkot,"Mavdi, Rajkot - Nexteng Enviro ",21-04-2026 17:00,22.248853,70.776774,PM2.5,29,135,67
India,Gujarat,Rajkot,"Mavdi, Rajkot - Nexteng Enviro ",21-04-2026 17:00,22.248853,70.776774,CO,89,98,91
India,Gujarat,Surat,"Katargam, Surat - Nexteng Enviro",21-04-2026 17:00,21.217779,72.834787,PM2.5,15,89,55
India,Gujarat,Surat,"Katargam, Surat - Nexteng Enviro",21-04-2026 17:00,21.217779,72.834787,CO,39,54,40
India,Gujarat,Surat,"Katargam, Surat - Nexteng Enviro",21-04-2026 17:00,21.217779,72.834787,OZONE,11,12,12
India,Gujarat,Ahmedabad,"Chandkheda, Ahmedabad - IITM",21-04-2026 17:00,23.107969,72.574648,PM10,66,164,102
India,Gujarat,Ahmedabad,"Chandkheda, Ahmedabad - IITM",21-04-2026 17:00,23.107969,72.574648,NO2,5,111,24
India,Gujarat,Ahmedabad,"Gyaspur, Ahmedabad - IITM",21-04-2026 17:00,22.977134,72.553024,PM10,69,269,123
India,Gujarat,Ahmedabad,"Gyaspur, Ahmedabad - IITM",21-04-2026 17:00,22.977134,72.553024,CO,1,46,2
India,Gujarat,Ahmedabad,"Maninagar, Ahmedabad - GPCB",21-04-2026 17:00,23.002657,72.591912,NO2,81,87,85
India,Gujarat,Ahmedabad,"Raikhad, Ahmedabad - IITM",21-04-2026 17:00,23.020509,72.579261,CO,14,110,28
India,Gujarat,Ahmedabad,"Rakhial, Ahmedabad - IITM",21-04-2026 17:00,23.016834,72.625775,SO2,6,121,53
India,Gujarat,Ahmedabad,"Rakhial, Ahmedabad - IITM",21-04-2026 17:00,23.016834,72.625775,CO,1,129,4
India,Gujarat,Ahmedabad,"Rakhial, Ahmedabad - IITM",21-04-2026 17:00,23.016834,72.625775,OZONE,2,58,48
India,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC",21-04-2026 17:00,28.611281,77.237738,NO2,16,132,70
India,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC",21-04-2026 17:00,28.611281,77.237738,NH3,14,18,15
India,Delhi,Delhi,"Mandir Marg, Delhi - DPCC",21-04-2026 17:00,28.636429,77.201067,PM2.5,88,321,157
